TYPE,ITEM,PERIOD,DETAILS,STORAGE,ITEM_DESC
DIARY,Cheese,60.0,,REFRIGERATED, processed slices
DIARY,Eggs,35.0,,REFRIGERATED, in shell
DIARY,Margarine,30.0,,FROZEN,
DIARY,Milk,7.0,,REFRIGERATED, plain or flavored
SOY,Tofu,7.0,,REFRIGERATED,
PROCESSED_MEAT,Bacon,7.0,,REFRIGERATED,
PROCESSED_MEAT,Ham,270.0,,REFRIGERATED," canned (""keep refrigerated"" label)"
FRUIT,Apples,2.0,,SHELF,
FRUIT,Bananas,30.0,,SHELF,
VEGETABLES,Tomatoes,36.58,,SHELF,
SHELF_ITEM,Rice,730.0,unopened,SHELF, white or wild
BAKERY,Bread,4.0,,SHELF, commercial*
BEVERAGES,Juice in cartons,21.0,unopened,REFRIGERATED," fruit drinks, punch"
BEVERAGES,Juice in cartons,1.0,opened,REFRIGERATED," fruit drinks, punch"
BEVERAGES,Juice in cartons,30.0,,FROZEN," fruit drinks, punch"
DIARY,Butter,90.0,,REFRIGERATED,
DIARY,Butter,270.0,,FROZEN,
DIARY,Buttermilk,14.0,,REFRIGERATED,
DIARY,Buttermilk,90.0,,FROZEN,
DIARY,Cheese,180.0,unopened,REFRIGERATED," hard (such as cheddar,  swiss, block parmesan)"
DIARY,Cheese,180.0,,FROZEN," hard (such as cheddar,  swiss, block parmesan)"
DIARY,Cheese,28.0,opened,REFRIGERATED," hard (such as cheddar,  swiss, block parmesan)"
DIARY,Parmesan,30.0,opened,REFRIGERATED, shredded
DIARY,Parmesan,120.0,,FROZEN, shredded
DIARY,Shredded cheddar,30.0,,REFRIGERATED," mozzarella, etc."
DIARY,Shredded cheddar,120.0,,FROZEN," mozzarella, etc."
DIARY,Cheese,7.0,,REFRIGERATED," soft (such as Brie, Bel Paese)"
DIARY,Cheese,180.0,,FROZEN," soft (such as Brie, Bel Paese)"
DIARY,Cottage cheese,7.0,,REFRIGERATED, ricotta
DIARY,Cream cheese,14.0,,REFRIGERATED,
DIARY,Cream,30.0,,REFRIGERATED," whipping, ultrapasteurized"
DIARY,Whipped,1.0,,REFRIGERATED, sweetened
DIARY,Whipped,60.0,,FROZEN, sweetened
DIARY,Aerosol can,28.0,,REFRIGERATED, real whipped cream
DIARY,Aerosol can,90.0,,REFRIGERATED, nondairy topping
DIARY,Cream,4.0,,REFRIGERATED, half-and-half
DIARY,Cream,120.0,,FROZEN, half-and-half
DIARY,Dips,14.0,,REFRIGERATED, sour cream based
DIARY,Egg substitutes,1.0,unopened,REFRIGERATED, liquid
DIARY,Egg substitutes,3.0,opened,REFRIGERATED, liquid
DIARY,Eggnog,5.0,,REFRIGERATED, commercial
DIARY,Eggnog,180.0,,FROZEN, commercial
DIARY,Eggs,4.0,,REFRIGERATED," raw whites, yolks*"
DIARY,Eggs,30.0,,FROZEN," raw whites, yolks*"
DIARY,Eggs,7.0,,REFRIGERATED, hard cooked
DIARY,Kefir (fermented milk),7.0,unopened,REFRIGERATED,
DIARY,Kefir (fermented milk),2.0,opened,REFRIGERATED,
DIARY,Margarine,180.0,,REFRIGERATED,
DIARY,Milk,90.0,,FROZEN, plain or flavored
DIARY,Pudding,57.45,unopened,REFRIGERATED,
DIARY,Pudding,2.0,opened,REFRIGERATED,
DIARY,Sour cream,2.0,,REFRIGERATED,
DIARY,Sour cream,57.45,,FROZEN,
DIARY,Yogurt,1.0,,REFRIGERATED,
DIARY,Yogurt,60.0,,FROZEN,
DOUGH,Tube cans of biscuits,60.0,,REFRIGERATED," rolls, pizza dough, etc."
DOUGH,Ready-to-bake pie crust,60.0,,REFRIGERATED,
DOUGH,Ready-to-bake pie crust,60.0,,FROZEN,
DOUGH,Cookie dough,60.0,unopened,REFRIGERATED,
DOUGH,Cookie dough,60.0,opened,REFRIGERATED,
DOUGH,Cookie dough,60.0,,FROZEN,
PASTA,Pasta,2.0,,REFRIGERATED, fresh
PASTA,Pasta,31.0,,REFRIGERATED, fresh
PASTA,Pasta,60.0,,FROZEN, fresh
PESTO,Pesto or Sala,31.5,unopened,REFRIGERATED,
PESTO,Pesto or Sala,3.0,opened,REFRIGERATED,
PESTO,Pesto or Sala,60.0,,FROZEN,
SOY,Soy or rice beverage,1.0,,REFRIGERATED, refrigerated
SOY,Tofu,150.0,,FROZEN,
SOY,Miso,90.0,,REFRIGERATED,
FISH,Lean fish (cod,2.0,,REFRIGERATED," flounder, haddock, halibut, sole, etc.)"
FISH,Lean fish (cod,240.0,,FROZEN," flounder, haddock, halibut, sole, etc.)"
FISH,Lean fish (pollock,2.0,,REFRIGERATED," ocean perch, rockfish, sea trout)"
