OrderId,OrderItemId,TYPE,ITEM,PERIOD,DETAILS,STORAGE,ITEM_DESC
50050,2,SHELF_ITEM,Tea,30.0,unopened,SHELF, bags
50050,3,BAKERY,Pies,240.0,,FROZEN, mincemeat
50050,4,SHELF_ITEM,Marshmallows,120.0,unopened,SHELF, marshmallow creme
50050,5,BAKERY,Doughnuts,7.0,G,REFRIGERATED, glazed or cake
50050,6,DIARY,Cream,120.0,,FROZEN, half-and-half
50050,7,SMOKEDFISH,Salmon,60.0,,FROZEN," whitefish, cold-smoked"
50050,8,SHELF_ITEM,Milk,5.0,opened,REFRIGERATED, canned evaporated
50050,9,DIARY,Milk,90.0,,FROZEN, plain or flavored
50050,10,SHELF_ITEM,Extracts,1095.0,unopened,SHELF," vanilla, lemon, etc."
50050,11,BAKERY,Rolls,36.62,,SHELF," yeast, partially baked"
50050,13,SHELF_ITEM,Sugar,120.0,,SHELF, brown
50050,14,SHELF_ITEM,Spaghetti sauce in jars,30.0,unopened,SHELF,
50051,1,SHELF_ITEM,Commercially microwave packets,30.0,unopened,SHELF,
50051,2,BAKERY,Cakes,180.0,,REFRIGERATED, fruit cake
50051,3,BAKERY,Muffins,2.0,,SHELF,
50051,4,VEGETABLES,Eggplant,1.0,,SHELF,
50051,5,FRUIT,Coconuts,180.0,Shredded,FROZEN,
50051,6,SHELF_ITEM,Gelatin,1095.0,unopened,SHELF, unflavored
50051,8,FROZEN_ITEM,Bread Dough,7.0,After baking,THAWED, commercial
50051,9,SHELF_ITEM,Rice,730.0,unopened,SHELF, white or wild
50051,10,SHELF_ITEM,Honey,30.0,opened,SHELF,
50051,11,SOY,Soy or rice beverage,365.0,unopened,SHELF," soy flour, de-fatted, low-fat"
50051,12,VEGETABLES,Cauliflower,30.0,,FROZEN,
50051,13,DIARY,Sour cream,2.0,,REFRIGERATED,
50051,14,PROCESSED_POULTRY,Cooked poultry dishes,4.0,,REFRIGERATED,
50051,15,SHELF_ITEM,Sugar,730.0,,SHELF, granulated
50051,16,SHELLFISH,Crab meat,180.0,unopened,REFRIGERATED, pasteurized
50052,1,FROZEN_ITEM,Lobster tails,2.0,,THAWED,
50052,2,VEGETABLES,Ginger Root,14.0,,REFRIGERATED,
50052,4,DIARY,Cream,30.0,,REFRIGERATED," whipping, ultrapasteurized"
50052,5,FROZEN_ITEM,Egg substitutes,57.15,,THAWED,
50052,6,DIARY,Milk,7.0,,REFRIGERATED, plain or flavored
50052,7,BAKERY,Eclairs,4.0,,REFRIGERATED, dairy cream filled
50052,8,FRUIT,Coconuts,21.0,fresh,REFRIGERATED,
50052,9,BAKERY,Rolls,4.0,,SHELF," yeast, baked"
50052,10,FRUIT,Grapes,7.0,,REFRIGERATED,
50052,11,SHELF_ITEM,Rice,180.0,opened,REFRIGERATED, flavored or herb mixes
50052,12,SHELLFISH,Lobster tails,180.0,,FROZEN,
50052,13,VEGETABLES,Bok choy,30.0,,FROZEN,
50052,14,FRESH_POULTRY,Giblets,2.0,,REFRIGERATED,
50053,1,DELI_ITEM,Luncheon meats,5.0,,REFRIGERATED, store-sliced
50053,2,SHELF_ITEM,Sauce mixes,730.0,unopened,SHELF," nondairy (spaghetti, taco, etc.)"
50053,3,DIARY,Shredded cheddar,30.0,,REFRIGERATED," mozzarella, etc."
50053,4,BAKERY,Pies,7.0,,REFRIGERATED, fruit
50053,5,FROZEN_ITEM,Soy meat substitutes,4.0,,THAWED,
50053,6,BAKERY,Pies,2.0,,SHELF, fruit
50053,7,VEGETABLES,Celery,30.0,,FROZEN,
50053,8,SHELF_ITEM,Mushrooms,90.0,opened,SHELF, dried
50053,9,SHELF_ITEM,Tapioca,30.0,opened,SHELF,
50053,10,PROCESSED_POULTRY,Lunch meats,14.0,,REFRIGERATED, sealed in package
50053,12,BEVERAGES,Juice in cartons,1.0,opened,REFRIGERATED," fruit drinks, punch"
50053,13,DELI_ITEM,Luncheon meats,5.0,,REFRIGERATED, store-sliced
50053,14,VEGETABLES,Peppers,5.0,,REFRIGERATED, bell or chile
50053,15,DELI_ITEM,Pudding,50.73,unopened,REFRIGERATED,
50054,1,FRUIT,Coconuts,180.0,Shredded,FROZEN,
50054,2,DELI_ITEM,Salads,5.0,,REFRIGERATED, vegetable
50054,3,DIARY,Buttermilk,14.0,,REFRIGERATED,
50054,4,SHELF_ITEM,Peas,30.0,unopened,SHELF, dried split
50054,5,BAKERY,Doughnuts,4.0,,REFRIGERATED," glazed or cake, dairy cream filled"
50054,6,DIARY,Sour cream,2.0,,REFRIGERATED,
50054,7,VEGETABLES,Garlic,30.0,,FROZEN,
50054,8,SHELF_ITEM,Soda such as carbonated cola drinks,90.0,unopened,SHELF," mixers: regular sodas, bottles"
50054,9,PROCESSED_MEAT,Ham,7.0,,REFRIGERATED," fully cooked, whole"
50054,10,SOY,Soy or rice beverage,365.0,unopened,SHELF," soy flour, de-fatted, low-fat"
50054,11,VEGETABLES,Radishes,1.0,,REFRIGERATED,
50054,12,SHELF_ITEM,Soda such as carbonated cola drinks,90.0,unopened,SHELF," mixers: regular sodas, bottles"
50055,1,VEGETABLES,Squash,5.0,,REFRIGERATED, summer
50055,3,BAKERY,Pies,2.0,,SHELF, fruit
50055,4,FROZEN_ITEM,Sherbet,120.0,,FROZEN, sorbet
50055,5,BAKING,Biscuit or pancake mix,30.0,unopened,SHELF,
50055,6,VEGETABLES,Bok choy,3.0,,REFRIGERATED,
50055,7,FRUIT,Apples,21.0,,REFRIGERATED,
50055,8,VEGETABLES,Spinach,30.0,,FROZEN,
50055,9,SHELF_ITEM,Juice,1.0,opened,REFRIGERATED, boxes
50055,10,CONDIMENTS,Barbecue sauce,30.0,unopened,SHELF, bottled
50055,11,SHELF_ITEM,Peas,30.0,unopened,SHELF, dried split
50055,12,SOY,Soy or rice beverage,1.0,,REFRIGERATED, refrigerated
50056,1,SHELF_ITEM,Soda such as carbonated cola drinks,14.0,opened,SHELF," mixers: regular sodas, bottles"
50056,2,DELI_ITEM,Olives,14.0,,REFRIGERATED,
50056,3,FROZEN_ITEM,Bagels,60.0,,FROZEN,
50056,4,FRUIT,Papaya,7.0,,REFRIGERATED, mango
50056,6,DELI_ITEM,Side dishes such as cooked vegetables,4.0,,REFRIGERATED, rice or potatoes
50056,7,BAKERY,Cookies,21.0,,SHELF, bakery or homemade
50056,8,CONDIMENTS,Mustard,30.0,opened,SHELF,
50056,9,FROZEN_ITEM,Topping,180.0,,FROZEN, whipped
50056,10,FRUIT,Peaches,4.0,,REFRIGERATED, nectarines
50056,11,FRUIT,Grapes,30.0,Whole,FROZEN,
50056,12,VEGETABLES,Herbs,1.0,,REFRIGERATED, fresh
50056,13,BAKING,Frosting,7.0,opened,REFRIGERATED, canned
50056,14,FRESH_POULTRY,Giblets,120.0,,FROZEN,
50056,16,COOKIES,Cookies,30.0,opened,FROZEN, packaged
50056,17,SHELLFISH,Live lobsters,90.0,,FROZEN,
50057,1,DELI_ITEM,Luncheon meats,5.0,,REFRIGERATED, store-sliced
50057,2,VEGETABLES,Lettuce,14.0,,REFRIGERATED, iceberg
50057,3,BAKERY,Cakes,2.0,,SHELF, chocolate
50057,4,SHELF_ITEM,Gravy,2.0,opened,REFRIGERATED, dry gravy mixes
