OrderId,OrderItemId,TYPE,ITEM,PERIOD,DETAILS,STORAGE,Quantity,ITEM_DESC
20051,1,DIARY,Cheese,60.0,,REFRIGERATED,105, processed slices
20051,2,DIARY,Eggs,35.0,,REFRIGERATED,120, in shell
20051,3,DIARY,Margarine,30.0,,FROZEN,140,
20051,4,DIARY,Milk,7.0,,REFRIGERATED,135, plain or flavored
20051,5,SOY,Tofu,7.0,,REFRIGERATED,145,
20051,6,PROCESSED_MEAT,Bacon,7.0,,REFRIGERATED,140,
20051,7,PROCESSED_MEAT,Ham,270.0,,REFRIGERATED,110," canned (""keep refrigerated"" label)"
20051,8,FRUIT,Apples,2.0,,SHELF,130,
20051,9,FRUIT,Bananas,25.46,,SHELF,100,
20051,10,VEGETABLES,Tomatoes,39.5,,SHELF,125,
20051,11,SHELF_ITEM,Rice,730.0,unopened,SHELF,130, white or wild
20051,12,BAKERY,Bread,90.0,,FROZEN,145, commercial*
20051,13,PROCESSED_MEAT,Sausage,60.0,,FROZEN,110," smoked links, patties"
20051,14,SMOKEDFISH,Salmon,60.0,,FROZEN,110," whitefish, cold-smoked"
20051,15,BAKERY,Cakes,30.0,,FROZEN,115, fruit cake
20051,16,FRESH_POULTRY,Giblets,120.0,,FROZEN,140,
20051,17,FROZEN_ITEM,Tempeh,14.0,,THAWED,145,
20051,18,BAKERY,Cakes,60.0,,FROZEN,140, angel food
20051,19,PESTO,Pesto or Sala,3.0,opened,REFRIGERATED,105,
20051,20,BAKERY,Cakes,120.0,,FROZEN,135, chocolate
20051,21,VEGETABLES,Peppers,5.0,,REFRIGERATED,100, bell or chile
20051,22,SHELF_ITEM,Spaghetti sauce in jars,4.0,opened,REFRIGERATED,105,
20051,23,SHELF_ITEM,Coffee,14.0,opened,REFRIGERATED,110," non-vacuum bag ground, in cans"
20051,25,SHELF_ITEM,Soda such as carbonated cola drinks,3.0,opened,REFRIGERATED,100," mixers: diet sodas, bottles or cans"
20051,26,VEGETABLES,Garlic,14.0,,REFRIGERATED,125,
20051,27,DELI_ITEM,Meats covered with gravy or broth,180.0,,FROZEN,135,
20051,28,DELI_ITEM,Chicken,120.0,,FROZEN,105, rotisserie or fried
20051,30,FROZEN_ITEM,Sausages,60.0,,FROZEN,100, uncooked
20051,32,FROZEN_ITEM,Egg substitutes,62.22,,THAWED,130,
20051,33,BAKERY,Cakes,60.0,,FROZEN,105, angel food
20051,34,VEGETABLES,Ginger Root,30.0,,FROZEN,140,
20052,1,DIARY,Cheese,60.0,,REFRIGERATED,115, processed slices
20052,2,DIARY,Eggs,35.0,,REFRIGERATED,115, in shell
20052,3,DIARY,Margarine,30.0,,FROZEN,120,
20052,4,DIARY,Milk,7.0,,REFRIGERATED,135, plain or flavored
20052,5,SOY,Tofu,7.0,,REFRIGERATED,130,
20052,6,PROCESSED_MEAT,Bacon,7.0,,REFRIGERATED,100,
20052,7,PROCESSED_MEAT,Ham,270.0,,REFRIGERATED,140," canned (""keep refrigerated"" label)"
20052,8,FRUIT,Apples,2.0,,SHELF,120,
20052,9,FRUIT,Bananas,25.46,,SHELF,120,
20052,10,VEGETABLES,Tomatoes,39.5,,SHELF,130,
20052,11,SHELF_ITEM,Rice,730.0,unopened,SHELF,135, white or wild
20052,12,DELI_ITEM,Meats covered with gravy or broth,2.0,,REFRIGERATED,105,
20052,13,CONDIMENTS,Barbecue sauce,120.0,opened,REFRIGERATED,130, bottled
20052,15,SHELF_ITEM,Oils,120.0,opened,REFRIGERATED,140, olive or vegetable
20052,16,PROCESSED_MEAT,Sausage,2.0,,REFRIGERATED,115," raw, bulk type"
20052,17,DIARY,Buttermilk,90.0,,FROZEN,125,
20052,18,FRESH_MEAT,Cooked meats (after home cooking),90.0,,FROZEN,115,
20052,19,FROZEN_ITEM,Soy meat substitutes,30.0,,FROZEN,125,
20052,20,VEGETABLES,Herbs,1.0,,REFRIGERATED,105, fresh
20052,21,CRACKERS,Crackers,120.0,opened,FROZEN,135,
20052,22,PROCESSED_POULTRY,Lunch meats,60.0,,FROZEN,130, sealed in package
20052,24,DIARY,Cream,120.0,,FROZEN,120, half-and-half
20052,25,SHELF_ITEM,Jerky,60.0,opened,REFRIGERATED,125, homemade
20052,26,FRUIT,Coconuts,21.0,fresh,REFRIGERATED,145,
20052,27,BAKERY,Cakes,7.0,,REFRIGERATED,120," chiffon, sponge"
20052,29,PROCESSED_MEAT,Sausage,7.0,,REFRIGERATED,145," smoked links, patties"
20052,30,FROZEN_ITEM,Soy crumbles and hotdogs,4.0,,THAWED,145,
20053,1,DIARY,Cheese,60.0,,REFRIGERATED,145, processed slices
20053,2,DIARY,Eggs,35.0,,REFRIGERATED,120, in shell
20053,3,DIARY,Margarine,30.0,,FROZEN,130,
20053,4,DIARY,Milk,7.0,,REFRIGERATED,105, plain or flavored
20053,5,SOY,Tofu,7.0,,REFRIGERATED,145,
20053,6,PROCESSED_MEAT,Bacon,7.0,,REFRIGERATED,130,
20053,7,PROCESSED_MEAT,Ham,270.0,,REFRIGERATED,110," canned (""keep refrigerated"" label)"
20053,8,FRUIT,Apples,2.0,,SHELF,115,
20053,9,FRUIT,Bananas,25.46,,SHELF,120,
20053,10,VEGETABLES,Tomatoes,39.5,,SHELF,145,
20053,11,SHELF_ITEM,Rice,730.0,unopened,SHELF,135, white or wild
20053,12,DIARY,Eggs,30.0,,FROZEN,100," raw whites, yolks*"
20053,13,DOUGH,Ready-to-bake pie crust,60.0,,REFRIGERATED,130,
20053,15,FISH,Caviar,28.0,unopened,REFRIGERATED,110," fresh, in jar"
20053,16,FRESH_POULTRY,Giblets,2.0,,REFRIGERATED,110,
20053,17,BAKERY,Pies,4.0,,REFRIGERATED,145, pumpkin
20053,18,DIARY,Eggnog,180.0,,FROZEN,115, commercial
20053,19,SHELLFISH,Cooked shellfish,4.0,,REFRIGERATED,145, all
20053,20,FRESH_POULTRY,Chicken or turkey,30.0,,FROZEN,145, whole
20053,21,SHELF_ITEM,Garlic,319.79,opened,REFRIGERATED,140, commercial jars
20053,22,SHELF_ITEM,Baby food,2.0,opened,REFRIGERATED,145, formula
20053,23,FROZEN_ITEM,Bagels,60.0,,FROZEN,110,
20053,24,BAKERY,Quiche,60.0,,FROZEN,130,
20053,25,FRUIT,Melons,4.0,,REFRIGERATED,115,
20053,26,FISH,Lean fish (pollock,120.0,,FROZEN,120," ocean perch, rockfish, sea trout)"
20053,27,BAKERY,Cheesecake,7.0,,REFRIGERATED,115,
20053,28,VEGETABLES,Herbs,1.0,,REFRIGERATED,120, fresh
20053,29,FRUIT,Grapes,30.0,Whole,FROZEN,115,
20053,30,DIARY,Milk,7.0,,REFRIGERATED,100, plain or flavored
20053,31,VEGETABLES,Radishes,1.0,,REFRIGERATED,135,
20053,32,FROZEN_ITEM,Fish,180.0,,FROZEN,145, raw
20053,33,SHELF_ITEM,Soda such as carbonated cola drinks,3.0,opened,REFRIGERATED,110," mixers: diet sodas, bottles or cans"
20053,34,FISH,Surimi seafood,4.0,,REFRIGERATED,105,
20053,35,VEGETABLES,Spinach,2.0,,REFRIGERATED,110,
20053,36,VEGETABLES,Carrots,21.0,,REFRIGERATED,140, parsnips
20054,1,DIARY,Cheese,60.0,,REFRIGERATED,125, processed slices
20054,2,DIARY,Eggs,35.0,,REFRIGERATED,100, in shell
20054,3,DIARY,Margarine,30.0,,FROZEN,110,
20054,4,DIARY,Milk,7.0,,REFRIGERATED,100, plain or flavored
20054,5,SOY,Tofu,7.0,,REFRIGERATED,140,
20054,6,PROCESSED_MEAT,Bacon,7.0,,REFRIGERATED,110,
20054,7,PROCESSED_MEAT,Ham,270.0,,REFRIGERATED,110," canned (""keep refrigerated"" label)"
20054,8,FRUIT,Apples,2.0,,SHELF,130,
20054,9,FRUIT,Bananas,25.46,,SHELF,115,
20054,10,VEGETABLES,Tomatoes,39.5,,SHELF,110,
20054,11,SHELF_ITEM,Rice,730.0,unopened,SHELF,115, white or wild
20054,12,VEGETABLES,Garlic,30.0,,FROZEN,145,
20054,13,BAKERY,Bread,7.0,,REFRIGERATED,130," flat (tortillas, pita)"
20054,14,DIARY,Yogurt,1.0,,REFRIGERATED,135,
20054,15,DIARY,Aerosol can,90.0,,REFRIGERATED,110, nondairy topping
20054,16,SMOKEDFISH,Herring,4.0,,REFRIGERATED,130,
20054,17,DIARY,Parmesan,120.0,,FROZEN,135, shredded
20054,18,VEGETABLES,Cucumbers,5.0,,REFRIGERATED,145,
20054,19,SHELF_ITEM,Gravy,2.0,opened,REFRIGERATED,100, jars and cans
20054,20,DELI_ITEM,Pate,60.0,,FROZEN,145,
20054,21,PROCESSED_MEAT,Sausage,60.0,,FROZEN,130," raw, bulk type"
20054,22,FROZEN_ITEM,Shrimp,2.0,,THAWED,135, shellfish
20054,23,PROCESSED_MEAT,Lunch meats,14.0,,REFRIGERATED,105, sealed in package
20054,24,SHELLFISH,Crab meat,5.0,opened,REFRIGERATED,145, pasteurized
20054,25,DOUGH,Cookie dough,60.0,unopened,REFRIGERATED,125,
20054,26,DELI_ITEM,Cheese,28.0,,REFRIGERATED,135," store-sliced, hard cheese such as cheddar or swiss"
20054,27,BAKERY,Doughnuts,7.0,G,REFRIGERATED,125, glazed or cake
20054,28,SHELF_ITEM,Coffee,14.0,opened,REFRIGERATED,145," non-vacuum bag ground, in cans"
20054,29,SHELF_ITEM,Spices,730.0,opened,REFRIGERATED,145," paprika, red pepper, & chili powder"
20054,30,VEGETABLES,Beans,240.0,,FROZEN,140, green or wax
20054,31,DIARY,Milk,90.0,,FROZEN,100, plain or flavored
20054,32,SHELLFISH,Lobster tails,2.0,,REFRIGERATED,110,
20054,33,FROZEN_ITEM,Soy meat substitutes,4.0,,THAWED,120,
20054,34,FROZEN_ITEM,Sausages,2.0,,THAWED,100, uncooked
20054,36,DIARY,Butter,270.0,,FROZEN,120,
20054,37,PROCESSED_POULTRY,Pieces covered with broth or gravy,2.0,,REFRIGERATED,115,
20054,38,FRUIT,Pears,4.0,,REFRIGERATED,100, Plums
20055,1,DIARY,Cheese,60.0,,REFRIGERATED,115, processed slices
20055,2,DIARY,Eggs,35.0,,REFRIGERATED,140, in shell
20055,3,DIARY,Margarine,30.0,,FROZEN,110,
20055,4,DIARY,Milk,7.0,,REFRIGERATED,130, plain or flavored
20055,5,SOY,Tofu,7.0,,REFRIGERATED,135,
20055,6,PROCESSED_MEAT,Bacon,7.0,,REFRIGERATED,100,
20055,7,PROCESSED_MEAT,Ham,270.0,,REFRIGERATED,120," canned (""keep refrigerated"" label)"
20055,8,FRUIT,Apples,2.0,,SHELF,140,
20055,9,FRUIT,Bananas,25.46,,SHELF,115,
