OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage,Quantity
20051,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,105
20051,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,120
20051,3,DIARY,Margarine,12 months,,FROZEN,140
20051,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,135
20051,5,SOY,Tofu,1 week,,REFRIGERATED,145
20051,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,140
20051,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,110
20051,8,FRUIT,Apples,1-2 days,,SHELF,130
20051,9,FRUIT,Bananas,Until ripe,,SHELF,100
20051,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,125
20051,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,130
20051,12,BAKERY,"Bread, commercial*",3 months,,FROZEN,145
20051,13,PROCESSED_MEAT,"Sausage, smoked links, patties",1-2 months,,FROZEN,110
20051,14,SMOKEDFISH,"Salmon, whitefish, cold-smoked",2 months,,FROZEN,110
20051,15,BAKERY,"Cakes, fruit cake",12 months,,FROZEN,115
20051,16,FRESH_POULTRY,Giblets,3-4 months,,FROZEN,140
20051,17,FROZEN_ITEM,Tempeh,1-2 weeks,,THAWED,145
20051,18,BAKERY,"Cakes, angel food",2 months,,FROZEN,140
20051,19,PESTO,Pesto or Sala,3 days,opened,REFRIGERATED,105
20051,20,BAKERY,"Cakes, chocolate",4 months,,FROZEN,135
20051,21,VEGETABLES,"Peppers, bell or chile",4-5 days,,REFRIGERATED,100
20051,22,SHELF_ITEM,Spaghetti sauce in jars,4 days,opened,REFRIGERATED,105
20051,23,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",2 weeks,opened,REFRIGERATED,110
20051,24,DELI_ITEM,Pudding,,Do not freeze,FROZEN,135
20051,25,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",2-3 days,opened,REFRIGERATED,100
20051,26,VEGETABLES,Garlic,1-2 weeks,,REFRIGERATED,125
20051,27,DELI_ITEM,Meats covered with gravy or broth,6 months,,FROZEN,135
20051,28,DELI_ITEM,"Chicken, rotisserie or fried",4 months,,FROZEN,105
20051,29,DELI_ITEM,Commercial brand vacuum packed dinners with USDA seal,,Do not freeze,FROZEN,130
20051,30,FROZEN_ITEM,"Sausages, uncooked",1-2 months,,FROZEN,100
20051,31,DIARY,"Dips, sour cream based",,Do not freeze,FROZEN,105
20051,32,FROZEN_ITEM,Egg substitutes,Date on Carton,,THAWED,130
20051,33,BAKERY,"Cakes, angel food",2 months,,FROZEN,105
20051,34,VEGETABLES,Ginger Root,1 month,,FROZEN,140
20052,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,115
20052,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,115
20052,3,DIARY,Margarine,12 months,,FROZEN,120
20052,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,135
20052,5,SOY,Tofu,1 week,,REFRIGERATED,130
20052,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,100
20052,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,140
20052,8,FRUIT,Apples,1-2 days,,SHELF,120
20052,9,FRUIT,Bananas,Until ripe,,SHELF,120
20052,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,130
20052,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,135
20052,12,DELI_ITEM,Meats covered with gravy or broth,1-2 days,,REFRIGERATED,105
