OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage
50050,1,DIARY,"Eggs, in shell",,Do not freeze,FROZEN
50050,2,SHELF_ITEM,"Tea, bags",18 months,unopened,SHELF
50050,3,BAKERY,"Pies, mincemeat",8 months,,FROZEN
50050,4,SHELF_ITEM,"Marshmallows, marshmallow creme",2-4 months,unopened,SHELF
50050,5,BAKERY,"Doughnuts, glazed or cake",1 week,G,REFRIGERATED
50050,6,DIARY,"Cream, half-and-half",4 months,,FROZEN
50050,7,SMOKEDFISH,"Salmon, whitefish, cold-smoked",2 months,,FROZEN
50050,8,SHELF_ITEM,"Milk, canned evaporated",4-5 days,opened,REFRIGERATED
50050,9,DIARY,"Milk, plain or flavored",3 months,,FROZEN
50050,10,SHELF_ITEM,"Extracts, vanilla, lemon, etc.",3 years,unopened,SHELF
50050,11,BAKERY,"Rolls, yeast, partially baked",Package date,,SHELF
50050,12,DELI_ITEM,"Fruit, cut",,Do not freeze,FROZEN
50050,13,SHELF_ITEM,"Sugar, brown",4 months,,SHELF
50050,14,SHELF_ITEM,Spaghetti sauce in jars,18 months,unopened,SHELF
50051,1,SHELF_ITEM,Commercially microwave packets,12 months,unopened,SHELF
50051,2,BAKERY,"Cakes, fruit cake",6 months,,REFRIGERATED
50051,3,BAKERY,Muffins,1-2 days,,SHELF
50051,4,VEGETABLES,Eggplant,1 day,,SHELF
50051,5,FRUIT,Coconuts,6 months,Shredded,FROZEN
50051,6,SHELF_ITEM,"Gelatin, unflavored",3 years,unopened,SHELF
50051,7,DIARY,"Cheese, processed slices",,Do not freeze,FROZEN
50051,8,FROZEN_ITEM,"Bread Dough, commercial",4-7 days,After baking,THAWED
50051,9,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF
50051,10,SHELF_ITEM,Honey,12 months,opened,SHELF
50051,11,SOY,"Soy or rice beverage, soy flour, de-fatted, low-fat",1 year,unopened,SHELF
50051,12,VEGETABLES,Cauliflower,10-12 months,,FROZEN
50051,13,DIARY,Sour cream,7-21 days,,REFRIGERATED
50051,14,PROCESSED_POULTRY,Cooked poultry dishes,3-4 days,,REFRIGERATED
50051,15,SHELF_ITEM,"Sugar, granulated",2 years,,SHELF
50051,16,SHELLFISH,"Crab meat, pasteurized",6 months,unopened,REFRIGERATED
50052,1,FROZEN_ITEM,Lobster tails,2 days,,THAWED
50052,2,VEGETABLES,Ginger Root,1-2 weeks,,REFRIGERATED
50052,3,DELI_ITEM,Pudding,,Do not freeze,FROZEN
50052,4,DIARY,"Cream, whipping, ultrapasteurized",1 month,,REFRIGERATED
50052,5,FROZEN_ITEM,Egg substitutes,Date on Carton,,THAWED
50052,6,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED
50052,7,BAKERY,"Eclairs, dairy cream filled",3-4 days,,REFRIGERATED
50052,8,FRUIT,Coconuts,2-3 weeks,fresh,REFRIGERATED
50052,9,BAKERY,"Rolls, yeast, baked",3-4 days,,SHELF
50052,10,FRUIT,Grapes,1 week,,REFRIGERATED
50052,11,SHELF_ITEM,"Rice, flavored or herb mixes",6 months,opened,REFRIGERATED
50052,12,SHELLFISH,Lobster tails,6 months,,FROZEN
50052,13,VEGETABLES,Bok choy,10-12 months,,FROZEN
50052,14,FRESH_POULTRY,Giblets,1-2 days,,REFRIGERATED
50053,1,DELI_ITEM,"Luncheon meats, store-sliced",3-5 days,,REFRIGERATED
50053,2,SHELF_ITEM,"Sauce mixes, nondairy (spaghetti, taco, etc.)",2 years,unopened,SHELF
50053,3,DIARY,"Shredded cheddar, mozzarella, etc.",1 month,,REFRIGERATED
50053,4,BAKERY,"Pies, fruit",1 week,,REFRIGERATED
50053,5,FROZEN_ITEM,Soy meat substitutes,3-4 days,,THAWED
50053,6,BAKERY,"Pies, fruit",1-2 days,,SHELF
50053,7,VEGETABLES,Celery,10-12 months,,FROZEN
50053,8,SHELF_ITEM,"Mushrooms, dried",3 months,opened,SHELF
50053,9,SHELF_ITEM,Tapioca,12 months,opened,SHELF
50053,10,PROCESSED_POULTRY,"Lunch meats, sealed in package",2 weeks,,REFRIGERATED
50053,11,DIARY,"Eggs, hard cooked",,Do not freeze,FROZEN
50053,12,BEVERAGES,"Juice in cartons, fruit drinks, punch",7-10 days,opened,REFRIGERATED
50053,13,DELI_ITEM,"Luncheon meats, store-sliced",3-5 days,,REFRIGERATED
50053,14,VEGETABLES,"Peppers, bell or chile",4-5 days,,REFRIGERATED
50053,15,DELI_ITEM,Pudding,Package date,unopened,REFRIGERATED
50054,1,FRUIT,Coconuts,6 months,Shredded,FROZEN
